,slice_file_name,fold,class_name
0,100032-3-0-0.wav,5,dog_bark
1,100263-2-0-117.wav,5,children_playing
2,100263-2-0-121.wav,5,children_playing
3,100263-2-0-126.wav,5,children_playing
4,100263-2-0-137.wav,5,children_playing
5,100263-2-0-143.wav,5,children_playing
6,100263-2-0-161.wav,5,children_playing
7,100263-2-0-3.wav,5,children_playing
8,100263-2-0-36.wav,5,children_playing
9,100648-1-0-0.wav,10,car_horn
10,100648-1-1-0.wav,10,car_horn
11,100648-1-2-0.wav,10,car_horn
12,100648-1-3-0.wav,10,car_horn
13,100648-1-4-0.wav,10,car_horn
14,100652-3-0-0.wav,2,dog_bark
15,100652-3-0-1.wav,2,dog_bark
16,100652-3-0-2.wav,2,dog_bark
17,100652-3-0-3.wav,2,dog_bark
18,100795-3-0-0.wav,10,dog_bark
19,100795-3-1-0.wav,10,dog_bark
20,100795-3-1-1.wav,10,dog_bark
21,100795-3-1-2.wav,10,dog_bark
22,100852-0-0-0.wav,5,air_conditioner
23,100852-0-0-1.wav,5,air_conditioner
24,100852-0-0-10.wav,5,air_conditioner
25,100852-0-0-11.wav,5,air_conditioner
26,100852-0-0-12.wav,5,air_conditioner
27,100852-0-0-13.wav,5,air_conditioner
28,100852-0-0-14.wav,5,air_conditioner
29,100852-0-0-15.wav,5,air_conditioner
30,100852-0-0-16.wav,5,air_conditioner
31,100852-0-0-17.wav,5,air_conditioner
32,100852-0-0-18.wav,5,air_conditioner
33,100852-0-0-19.wav,5,air_conditioner
34,100852-0-0-2.wav,5,air_conditioner
35,100852-0-0-20.wav,5,air_conditioner
36,100852-0-0-21.wav,5,air_conditioner
37,100852-0-0-22.wav,5,air_conditioner
38,100852-0-0-23.wav,5,air_conditioner
39,100852-0-0-24.wav,5,air_conditioner
40,100852-0-0-25.wav,5,air_conditioner
41,100852-0-0-26.wav,5,air_conditioner
42,100852-0-0-27.wav,5,air_conditioner
43,100852-0-0-28.wav,5,air_conditioner
44,100852-0-0-29.wav,5,air_conditioner
45,100852-0-0-3.wav,5,air_conditioner
