slice_file_name,fold,class_name,augment
100032-3-0-0.wav,5,dog_bark,none
100263-2-0-117.wav,5,children_playing,none
100263-2-0-121.wav,5,children_playing,none
100263-2-0-126.wav,5,children_playing,none
100263-2-0-137.wav,5,children_playing,none
100263-2-0-143.wav,5,children_playing,none
100263-2-0-161.wav,5,children_playing,none
100263-2-0-3.wav,5,children_playing,none
100263-2-0-36.wav,5,children_playing,none
100648-1-0-0.wav,10,car_horn,none
100648-1-1-0.wav,10,car_horn,none
100648-1-2-0.wav,10,car_horn,none
100648-1-3-0.wav,10,car_horn,none
100648-1-4-0.wav,10,car_horn,none
100652-3-0-0.wav,2,dog_bark,none
100652-3-0-1.wav,2,dog_bark,none
100652-3-0-2.wav,2,dog_bark,none
100652-3-0-3.wav,2,dog_bark,none
100795-3-0-0.wav,10,dog_bark,none
100795-3-1-0.wav,10,dog_bark,none
100795-3-1-1.wav,10,dog_bark,none
100795-3-1-2.wav,10,dog_bark,none
100852-0-0-0.wav,5,air_conditioner,none
100852-0-0-1.wav,5,air_conditioner,none
100852-0-0-10.wav,5,air_conditioner,none
100852-0-0-11.wav,5,air_conditioner,none
100852-0-0-12.wav,5,air_conditioner,none
100852-0-0-13.wav,5,air_conditioner,none
100852-0-0-14.wav,5,air_conditioner,none
100852-0-0-15.wav,5,air_conditioner,none
100852-0-0-16.wav,5,air_conditioner,none
100852-0-0-17.wav,5,air_conditioner,none
100852-0-0-18.wav,5,air_conditioner,none
100852-0-0-19.wav,5,air_conditioner,none
100852-0-0-2.wav,5,air_conditioner,none
100852-0-0-20.wav,5,air_conditioner,none
100852-0-0-21.wav,5,air_conditioner,none
100852-0-0-22.wav,5,air_conditioner,none
100852-0-0-23.wav,5,air_conditioner,none
100852-0-0-24.wav,5,air_conditioner,none
100852-0-0-25.wav,5,air_conditioner,none
100852-0-0-26.wav,5,air_conditioner,none
100852-0-0-27.wav,5,air_conditioner,none
100852-0-0-28.wav,5,air_conditioner,none
100852-0-0-29.wav,5,air_conditioner,none
100852-0-0-3.wav,5,air_conditioner,none
100852-0-0-30.wav,5,air_conditioner,none
